split,text,label,char_count,word_count,line_count,uppercase_ratio,digit_ratio,punctuation_ratio,starts_with_marker
synthetic,== Background ==,heading2,16,3,1,0.0625,0.0,0.25,1
synthetic,= = Background = =,heading2,18,5,1,0.05555555555555555,0.0,0.2222222222222222,1
synthetic,== Methods ==,heading2,13,3,1,0.07692307692307693,0.0,0.3076923076923077,1
synthetic,= = Methods = =,heading2,15,5,1,0.06666666666666667,0.0,0.26666666666666666,1
synthetic,== Results ==,heading2,13,3,1,0.07692307692307693,0.0,0.3076923076923077,1
synthetic,= = Results = =,heading2,15,5,1,0.06666666666666667,0.0,0.26666666666666666,1
synthetic,== Discussion ==,heading2,16,3,1,0.0625,0.0,0.25,1
synthetic,= = Discussion = =,heading2,18,5,1,0.05555555555555555,0.0,0.2222222222222222,1
synthetic,== Conclusion ==,heading2,16,3,1,0.0625,0.0,0.25,1
synthetic,= = Conclusion = =,heading2,18,5,1,0.05555555555555555,0.0,0.2222222222222222,1
synthetic,== Literature Review ==,heading2,23,4,1,0.08695652173913043,0.0,0.17391304347826086,1
synthetic,= = Literature Review = =,heading2,25,6,1,0.08,0.0,0.16,1
synthetic,== Data Analysis ==,heading2,19,4,1,0.10526315789473684,0.0,0.21052631578947367,1
synthetic,= = Data Analysis = =,heading2,21,6,1,0.09523809523809523,0.0,0.19047619047619047,1
synthetic,== Implementation ==,heading2,20,3,1,0.05,0.0,0.2,1
synthetic,= = Implementation = =,heading2,22,5,1,0.045454545454545456,0.0,0.18181818181818182,1
synthetic,== Related Work ==,heading2,18,4,1,0.1111111111111111,0.0,0.2222222222222222,1
synthetic,= = Related Work = =,heading2,20,6,1,0.1,0.0,0.2,1
synthetic,== System Design ==,heading2,19,4,1,0.10526315789473684,0.0,0.21052631578947367,1
synthetic,= = System Design = =,heading2,21,6,1,0.09523809523809523,0.0,0.19047619047619047,1
synthetic,== Experimental Setup ==,heading2,24,4,1,0.08333333333333333,0.0,0.16666666666666666,1
synthetic,= = Experimental Setup = =,heading2,26,6,1,0.07692307692307693,0.0,0.15384615384615385,1
synthetic,== Performance Evaluation ==,heading2,28,4,1,0.07142857142857142,0.0,0.14285714285714285,1
synthetic,= = Performance Evaluation = =,heading2,30,6,1,0.06666666666666667,0.0,0.13333333333333333,1
synthetic,== User Study ==,heading2,16,4,1,0.125,0.0,0.25,1
synthetic,= = User Study = =,heading2,18,6,1,0.1111111111111111,0.0,0.2222222222222222,1
synthetic,== Technical Approach ==,heading2,24,4,1,0.08333333333333333,0.0,0.16666666666666666,1
synthetic,= = Technical Approach = =,heading2,26,6,1,0.07692307692307693,0.0,0.15384615384615385,1
synthetic,== Problem Statement ==,heading2,23,4,1,0.08695652173913043,0.0,0.17391304347826086,1
synthetic,= = Problem Statement = =,heading2,25,6,1,0.08,0.0,0.16,1
synthetic,== Future Work ==,heading2,17,4,1,0.11764705882352941,0.0,0.23529411764705882,1
synthetic,= = Future Work = =,heading2,19,6,1,0.10526315789473684,0.0,0.21052631578947367,1
synthetic,== Acknowledgements ==,heading2,22,3,1,0.045454545454545456,0.0,0.18181818181818182,1
synthetic,= = Acknowledgements = =,heading2,24,5,1,0.041666666666666664,0.0,0.16666666666666666,1
synthetic,== Evaluation Metrics ==,heading2,24,4,1,0.08333333333333333,0.0,0.16666666666666666,1
synthetic,= = Evaluation Metrics = =,heading2,26,6,1,0.07692307692307693,0.0,0.15384615384615385,1
synthetic,=== Data Collection ===,heading3,23,4,1,0.08695652173913043,0.0,0.2608695652173913,1
synthetic,= = = Data Collection = = =,heading3,27,8,1,0.07407407407407407,0.0,0.2222222222222222,1
synthetic,=== Preprocessing ===,heading3,21,3,1,0.047619047619047616,0.0,0.2857142857142857,1
synthetic,= = = Preprocessing = = =,heading3,25,7,1,0.04,0.0,0.24,1
synthetic,=== Feature Engineering ===,heading3,27,4,1,0.07407407407407407,0.0,0.2222222222222222,1
synthetic,= = = Feature Engineering = = =,heading3,31,8,1,0.06451612903225806,0.0,0.1935483870967742,1
synthetic,=== Model Training ===,heading3,22,4,1,0.09090909090909091,0.0,0.2727272727272727,1
synthetic,= = = Model Training = = =,heading3,26,8,1,0.07692307692307693,0.0,0.23076923076923078,1
synthetic,=== Hyperparameters ===,heading3,23,3,1,0.043478260869565216,0.0,0.2608695652173913,1
synthetic,= = = Hyperparameters = = =,heading3,27,7,1,0.037037037037037035,0.0,0.2222222222222222,1
synthetic,=== Baseline Comparison ===,heading3,27,4,1,0.07407407407407407,0.0,0.2222222222222222,1
synthetic,= = = Baseline Comparison = = =,heading3,31,8,1,0.06451612903225806,0.0,0.1935483870967742,1
synthetic,=== Statistical Analysis ===,heading3,28,4,1,0.07142857142857142,0.0,0.21428571428571427,1
synthetic,= = = Statistical Analysis = = =,heading3,32,8,1,0.0625,0.0,0.1875,1
synthetic,=== Error Analysis ===,heading3,22,4,1,0.09090909090909091,0.0,0.2727272727272727,1
synthetic,= = = Error Analysis = = =,heading3,26,8,1,0.07692307692307693,0.0,0.23076923076923078,1
synthetic,=== Ablation Study ===,heading3,22,4,1,0.09090909090909091,0.0,0.2727272727272727,1
synthetic,= = = Ablation Study = = =,heading3,26,8,1,0.07692307692307693,0.0,0.23076923076923078,1
synthetic,=== Qualitative Results ===,heading3,27,4,1,0.07407407407407407,0.0,0.2222222222222222,1
synthetic,= = = Qualitative Results = = =,heading3,31,8,1,0.06451612903225806,0.0,0.1935483870967742,1
synthetic,=== Quantitative Results ===,heading3,28,4,1,0.07142857142857142,0.0,0.21428571428571427,1
synthetic,= = = Quantitative Results = = =,heading3,32,8,1,0.0625,0.0,0.1875,1
synthetic,=== Limitations ===,heading3,19,3,1,0.05263157894736842,0.0,0.3157894736842105,1
synthetic,= = = Limitations = = =,heading3,23,7,1,0.043478260869565216,0.0,0.2608695652173913,1
synthetic,=== Ethical Considerations ===,heading3,30,4,1,0.06666666666666667,0.0,0.2,1
synthetic,= = = Ethical Considerations = = =,heading3,34,8,1,0.058823529411764705,0.0,0.17647058823529413,1
synthetic,=== Runtime Performance ===,heading3,27,4,1,0.07407407407407407,0.0,0.2222222222222222,1
synthetic,= = = Runtime Performance = = =,heading3,31,8,1,0.06451612903225806,0.0,0.1935483870967742,1
synthetic,=== Memory Usage ===,heading3,20,4,1,0.1,0.0,0.3,1
synthetic,= = = Memory Usage = = =,heading3,24,8,1,0.08333333333333333,0.0,0.25,1
synthetic,> The only way to do great work is to love what you do.,blockquote,55,14,1,0.01818181818181818,0.0,0.03636363636363636,1
synthetic,"> In the beginning there was nothing, which exploded.",blockquote,53,9,1,0.018867924528301886,0.0,0.05660377358490566,1
synthetic,> Research is what I'm doing when I don't know what I'm doing.,blockquote,62,13,1,0.06451612903225806,0.0,0.08064516129032258,1
synthetic,> The best way to predict the future is to invent it.,blockquote,53,12,1,0.018867924528301886,0.0,0.03773584905660377,1
synthetic,> Not everything that counts can be counted.,blockquote,44,8,1,0.022727272727272728,0.0,0.045454545454545456,1
synthetic,> The important thing is not to stop questioning.,blockquote,49,9,1,0.02040816326530612,0.0,0.04081632653061224,1
synthetic,> Science is organized knowledge; wisdom is organized life.,blockquote,59,9,1,0.01694915254237288,0.0,0.05084745762711865,1
synthetic,"> To err is human; to forgive, divine.",blockquote,38,8,1,0.02631578947368421,0.0,0.10526315789473684,1
synthetic,"> Knowledge speaks, but wisdom listens.",blockquote,39,6,1,0.02564102564102564,0.0,0.07692307692307693,1
synthetic,> The measure of intelligence is the ability to change.,blockquote,55,10,1,0.01818181818181818,0.0,0.03636363636363636,1
synthetic,"> Education is not the filling of a pail, but the lighting of a fire.",blockquote,69,15,1,0.014492753623188406,0.0,0.043478260869565216,1
synthetic,> The only true wisdom is in knowing you know nothing.,blockquote,54,11,1,0.018518518518518517,0.0,0.037037037037037035,1
synthetic,"```python
def hello():
    print('Hello')
```",code_block,45,5,4,0.022222222222222223,0.0,0.28888888888888886,1
synthetic,"```javascript
const x = 42;
console.log(x);
```",code_block,47,7,4,0.0,0.0425531914893617,0.2553191489361702,1
synthetic,    def train_model(data):,code_block,26,2,1,0.0,0.0,0.15384615384615385,1
synthetic,    for item in dataset:,code_block,24,4,1,0.0,0.0,0.041666666666666664,1
synthetic,    return result.to_dict(),code_block,27,2,1,0.0,0.0,0.14814814814814814,1
synthetic,"```
npm install express
```",code_block,27,5,3,0.0,0.0,0.2222222222222222,1
synthetic,    const server = express(),code_block,28,4,1,0.0,0.0,0.10714285714285714,1
synthetic,    import pandas as pd,code_block,23,4,1,0.0,0.0,0.0,1
synthetic,"```bash
python main.py --train
```",code_block,34,5,3,0.0,0.0,0.2647058823529412,1
synthetic,"    model.fit(X_train, y_train)",code_block,31,2,1,0.03225806451612903,0.0,0.1935483870967742,1
synthetic,* Install dependencies with npm install,unordered_list,39,6,1,0.02564102564102564,0.0,0.02564102564102564,1
synthetic,* Configure environment variables,unordered_list,33,4,1,0.030303030303030304,0.0,0.030303030303030304,1
synthetic,* Run the development server,unordered_list,28,5,1,0.03571428571428571,0.0,0.03571428571428571,1
